,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
0,18 a 24,,,,Regular drip coffee,['No - just black'],,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25 a 34,,,['Pod/capsule machine (e.g. Keurig/Nespresso)'],Iced coffee,"['Sugar or sweetener', ' No - just black']",,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25 a 34,,,['Bean-to-cup machine'],Regular drip coffee,['No - just black'],,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35 a 44,,,['Coffee brewing machine (e.g. Mr. Coffee)'],Iced coffee,"['No - just black', ' Cinnamon']",,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25 a 34,,,['Pour over'],Latte,['No - just black'],,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55 a 64,,,"['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Espresso', ' French press']",Iced coffee,['Half & half'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18 a 24,,"['At a cafe', ' At the office', ' At home', ' On the go']","['Pour over', ' French press', ' Espresso', ' Instant coffee', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Pourover,['No - just black'],,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25 a 34,Less than 1,['At a cafe'],,Regular drip coffee,['No - just black'],,Light,,,,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18 a 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,<18,2,"['On the go', ' At a cafe', ' At home', ' At the office']","['Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Espresso', ' Bean-to-cup machine']",Other,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener', ' Flavor syrup']",,Full Bodied,Somewhat light,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,25 a 34,1,['At the office'],,Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<18,3,"['At home', ' At the office', ' At a cafe']","['Pour over', ' Espresso', ' Instant coffee']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Bright,Medium,Light,Full caffeine,10.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,More then 100,,,,,,,Other (please specify),Other (please specify)
16,>65,3,"['At the office', ' At a cafe']",,Cortado,['No - just black'],,Fruity,Somewhat strong,Blonde,Full caffeine,7.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,Coffee C,Coffee D,Coffee D,,,,,,,,,
17,25 a 34,1,"['At home', ' At the office', ' On the go']","['Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)']",Regular drip coffee,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Sweet,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,Coffee A,Coffee A,Coffee B,40 a 60,,,,,,,Female,White/Caucasian
18,25 a 34,2,['At a cafe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18 a 24,2,['At the office'],,Iced coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Nutty,Somewhat strong,Nordic,Full caffeine,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,4.0,4.0,,4.0,4.0,4.0,,,Coffee D,Coffee A,,,,,,,,,
20,18 a 24,3,['At home'],['Pour over'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,18 a 24,,['At home'],['Other'],Pourover,['No - just black'],,Bright,Somewhat light,Light,Full caffeine,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,35 a 44,,"['At the office', ' On the go', ' At home']",['Espresso'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Caramalized,Somewhat strong,Medium,Full caffeine,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25 a 34,More than 4,"['At the office', ' At home', ' At a cafe', ' On the go']",['Coffee extract (e.g. Cometeer)'],Regular drip coffee,['No - just black'],,Bold,Very strong,,Full caffeine,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,45 a 54,1,['At home'],['Pour over'],Regular drip coffee,['No - just black'],,Fruity,Medium,Light,Full caffeine,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,18 a 24,2,"['At the office', ' At home']","['Pod/capsule machine (e.g. Keurig/Nespresso)', ' French press']",Latte,"['Flavor syrup', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,35 a 44,1,"['At home', ' At a cafe']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Fruity,,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25 a 34,3,"['At home', ' On the go']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,18 a 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,25 a 34,1,"['At a cafe', ' At home', ' On the go']","['Espresso', ' Cold brew', ' Pour over']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Very strong,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,18 a 24,2,,"['French press', ' Cold brew']",Iced coffee,['No - just black'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18 a 24,3,,"['Pour over', ' Espresso']",Pourover,['No - just black'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,<18,,['At home'],['Pour over'],Regular drip coffee,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,45 a 54,2,"['At home', ' At the office', ' At a cafe', ' On the go']","['Pour over', ' French press', ' Espresso']",Regular drip coffee,['No - just black'],,Floral,Medium,Light,Full caffeine,8.0,3.0,3.0,4.0,,3.0,3.0,5.0,,4.0,3.0,3.0,,5.0,2.0,3.0,,Coffee B,Coffee A,Coffee B,20 a 40,['It tastes good'],Yes,Yes,4 a 6,8 a 10,No,Male,Other (please specify)
35,18 a 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,['No - just black'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,18 a 24,3,"['At the office', ' At home', ' At a cafe']","['Pour over', ' Cold brew', ' Other']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,25 a 34,2,"['At home', ' At the office', ' At a cafe']","['French press', ' Pod/capsule machine (e.g. Keurig/Nespresso)', ' Other']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Somewhat strong,Light,Full caffeine,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18 a 24,3,"['At home', ' At a cafe', ' On the go']","['Pour over', ' French press', ' Espresso', ' Other', ' Cold brew', ' Coffee brewing machine (e.g. Mr. Coffee)']",Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Whole milk'],Full Bodied,Medium,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,>65,1,['At home'],['Pod/capsule machine (e.g. Keurig/Nespresso)'],Regular drip coffee,['No - just black'],,Full Bodied,Somewhat strong,Dark,,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,,4.0,3.0,,,4.0,3.0,4.0,,Coffee C,Coffee D,Coffee C,,,,,,,,,
41,25 a 34,2,"['At home', ' At the office']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Floral,Medium,Light,Full caffeine,10.0,1.0,4.0,4.0,,1.0,4.0,4.0,,1.0,4.0,4.0,,2.0,4.0,4.0,,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,2 a 4,More than 20,Yes,Male,Asian/Pacific Islander
42,35 a 44,1,"['At the office', ' At home']",['Pour over'],Iced coffee,['No - just black'],,Fruity,Very strong,Light,Full caffeine,6.0,1.0,4.0,3.0,,3.0,2.0,4.0,,3.0,4.0,1.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,10 a 15,More than 20,Yes,Male,White/Caucasian
43,45 a 54,More than 4,['At home'],"['Pour over', ' French press', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Pourover,['No - just black'],,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,2.0,3.0,4.0,,3.0,2.0,2.0,,2.0,2.0,2.0,,3.0,3.0,2.0,,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,15 a 20,Yes,Male,White/Caucasian
44,35 a 44,1,"['At the office', ' At a cafe', ' At home']","['Pour over', ' Espresso', ' Other']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener', ' No - just black']","['Skim milk', ' Oat milk']",Nutty,Medium,Medium,Full caffeine,8.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,35 a 44,2,"['At a cafe', ' At home']","['Espresso', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Floral,Somewhat strong,Blonde,Full caffeine,4.0,3.0,4.0,5.0,,2.0,3.0,4.0,,2.0,3.0,4.0,,1.0,2.0,3.0,,Coffee A,Coffee A,Coffee A,60 a 80,"['I need the ritual', ' It tastes good']",Yes,Yes,6 a 8,4 a 6,Yes,Male,Black/African American
47,45 a 54,2,['At home'],"['Coffee extract (e.g. Cometeer)', ' Pour over']",Pourover,['No - just black'],,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,,2.0,2.0,4.0,,3.0,2.0,3.0,,3.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,More then 100,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,8 a 10,No,Male,White/Caucasian
48,35 a 44,2,"['At home', ' At the office']",['Other'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Nutty,Somewhat strong,Medium,Full caffeine,2.0,1.0,5.0,2.0,,2.0,3.0,3.0,,2.0,3.0,4.0,,2.0,2.0,5.0,,Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,No,4 a 6,6 a 8,Yes,Male,White/Caucasian
49,35 a 44,1,"['At home', ' At the office', ' On the go']","['Espresso', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener', ' Flavor syrup']","['Whole milk', ' Half and half']",Chocolatey,Medium,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,25 a 34,1,['At home'],['French press'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Almond milk'],Chocolatey,Medium,Medium,Half caff,7.0,4.0,4.0,1.0,,3.0,3.0,3.0,,4.0,4.0,2.0,,3.0,3.0,2.0,,Coffee B,Coffee D,Coffee B,,,,,,,,,
51,45 a 54,Less than 1,['At a cafe'],,Iced coffee,['Sugar or sweetener'],,Sweet,Somewhat strong,Medium,Half caff,2.0,2.0,4.0,4.0,,2.0,3.0,2.0,,4.0,2.0,5.0,,4.0,2.0,4.0,,Coffee C,Coffee A,Coffee D,Less then 20,"['It tastes good', ' I need the caffeine']",Yes,No,8 a 10,8 a 10,No,Male,White/Caucasian
52,25 a 34,1,['On the go'],,Cold brew,['No - just black'],,Chocolatey,Somewhat strong,Medium,Full caffeine,1.0,2.0,2.0,3.0,,2.0,2.0,3.0,,3.0,4.0,3.0,,4.0,3.0,2.0,,Coffee B,Coffee A,Coffee C,,,,,,,,,
53,35 a 44,1,"['At the office', ' At home']",['Other'],Americano,"['Milk', ' dairy alternative', ' or coffee creamer']","['Oat milk', ' Soy milk']",Nutty,Medium,Light,Full caffeine,7.0,4.0,3.0,3.0,"Bitter, soft",2.0,3.0,2.0,"Hazelnut, bold",2.0,4.0,1.0,Dark roast,2.0,2.0,5.0,"Fruity, light",Coffee A,Coffee D,Coffee D,,"['I need the ritual', ' It tastes good']",Yes,Yes,8 a 10,4 a 6,Yes,Female,White/Caucasian
54,35 a 44,3,"['At home', ' At the office']","['Espresso', ' Pour over', ' French press', ' Cold brew']",Espresso,['No - just black'],,Nutty,Somewhat strong,Medium,Half caff,8.0,1.0,1.0,1.0,This is just an audit to test if outliers are filtered away,2.0,2.0,2.0,I personally did not have a tasting kit,3.0,3.0,3.0,But the form does not ask me for a kit identifier,4.0,4.0,4.0,A small mistake to fix next time ;),Coffee A,Coffee D,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,No,Male,White/Caucasian
55,25 a 34,2,['At home'],"['Pour over', ' Instant coffee', ' Cold brew']",Pourover,"['No - just black', ' Other']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,25 a 34,2,['At home'],['Espresso'],Cortado,['No - just black'],,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,2.0,4.0,3.0,,4.0,3.0,5.0,,3.0,3.0,4.0,,2.0,5.0,2.0,,Coffee B,Coffee A,Coffee B,60 a 80,"['It tastes good', ' I need the ritual']",Yes,No,4 a 6,6 a 8,Yes,Male,White/Caucasian
57,35 a 44,2,['At home'],"['Espresso', ' Cold brew', ' Pour over']",Cold brew,['No - just black'],,Nutty,Medium,Light,Full caffeine,7.0,1.0,2.0,4.0,,4.0,2.0,2.0,,2.0,3.0,3.0,,3.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['I need the ritual', ' It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,More than 20,Yes,Male,White/Caucasian
58,35 a 44,Less than 1,['On the go'],,Espresso,,,Nutty,Very strong,Medium,Half caff,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,35 a 44,2,"['At the office', ' At home', ' On the go']","['Espresso', ' Cold brew']",Iced coffee,"['Milk', ' dairy alternative', ' or coffee creamer']","['Oat milk', ' Soy milk']",Full Bodied,,Medium,Full caffeine,6.0,2.0,2.0,,"Sweet, light honey/toasty notes",4.0,2.0,,"Peanut, malt, notable bitterness. A bit thick in texture.",,,,,,,,,,,,,,,,,,,,
60,25 a 34,,,,,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Oat milk'],Chocolatey,Medium,Dark,,5.0,2.0,4.0,,Very bright and juicy not my personal preference,3.0,3.0,3.0,Tasted kind of milky and smoooth but the flavor felt very muddy,,,,,4.0,2.0,,,,,,,,,,,,,,
61,25 a 34,More than 4,"['At home', ' At a cafe']",['Other'],Cappuccino,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,,5.0,1.0,2.0,,3.0,3.0,3.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,More then 100,"['I need the ritual', ' I need the caffeine', ' It tastes good']",Yes,Yes,6 a 8,More than 20,Yes,Male,White/Caucasian
62,35 a 44,More than 4,"['At home', ' At a cafe']","['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Cold brew', ' French press', ' Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)']",Espresso,['No - just black'],,Bold,Very strong,Medium,Full caffeine,8.0,1.0,1.0,4.0,,3.0,2.0,3.0,,1.0,1.0,3.0,,1.0,4.0,1.0,,Coffee A,Coffee A,Coffee A,More then 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,10 a 15,Yes,Male,White/Caucasian
63,45 a 54,More than 4,['At home'],"['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Other']",Americano,['No - just black'],,Bold,Somewhat strong,Dark,Half caff,6.0,2.0,5.0,1.0,,2.0,3.0,5.0,"Nice mouth feel, coats.",2.0,2.0,3.0,,2.0,5.0,1.0,Unripe fruit.,Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,6 a 8,No,Female,
64,25 a 34,2,"['At home', ' At a cafe', ' On the go', ' At the office']","['Pour over', ' Espresso']",Cappuccino,['No - just black'],,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,"Fruity aroma, lighter mouthfeel, lemony-citrusy taste.",4.0,2.0,4.0,"Darker, chocolatey, least aromatic/metallic smell. Full bodied mouthfeel.",4.0,3.0,3.0,"Vegetal initial aroma, some astringency. Least favorite.",1.0,4.0,5.0,"Personal favorite. Sweet smell, berry-like taste, light/medium mouthfeel.",Coffee A,Coffee D,Coffee D,More then 100,"['It tastes good', ' I need the ritual']",Yes,Yes,More than 20,More than 20,No,Male,Asian/Pacific Islander
